Q.NO.,Q.Type,Date,Ministry,Member,Subject,links
60,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ram Mohan Naidu,Shri Kinjarapu",National Creche Scheme,http://164.100.24.220/loksabhaquestions/annex/1710/AS60.pdf
53,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Velusamy,Shri P.",Anganwadi Centres in Tamil Nadu,http://164.100.24.220/loksabhaquestions/annex/1710/AS53.pdf
50,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Dinesh Chandra,Singh,Shri Rajiv Ranjan (Lalan)",Funds to Bihar under ICDS,http://164.100.24.220/loksabhaquestions/annex/1710/AS50.pdf
47,STARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Roy,Dr. Jayanta Kumar,Singh Deo,Smt. Sangeeta Kumari",POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/1710/AS47.pdf
686,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kataria,Shri Rattan Lal",Promotion of Institutional Deliveries,http://164.100.24.220/loksabhaquestions/annex/1710/AU686.pdf
673,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ravikumar,Shri D.",Menopause Policy,http://164.100.24.220/loksabhaquestions/annex/1710/AU673.pdf
668,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Joshi,Shri Chandra Prakash",Rehabilitation of Orphaned Children,http://164.100.24.220/loksabhaquestions/annex/1710/AU668.pdf
663,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ravindhranath, Shri P.",Malnutrition among Children and Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU663.pdf
662,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kashyap,Shri Dharmendra Kumar",Exploitation of Women at Workplace,http://164.100.24.220/loksabhaquestions/annex/1710/AU662.pdf
648,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Lodhi, Shri Ghanshyam Singh",Self Employment of Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU648.pdf
642,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Shyam Yadav",Sexual Harassment of Women at Workplace,http://164.100.24.220/loksabhaquestions/annex/1710/AU642.pdf
636,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Tagore B,Shri Manickam",Prohibition of Child Marriage,http://164.100.24.220/loksabhaquestions/annex/1710/AU636.pdf
618,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Katara,Shri Kanakmal",Incidents of Dowry Harassment,http://164.100.24.220/loksabhaquestions/annex/1710/AU618.pdf
610,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ajmal, Maulana Badruddin",Undernourished Children,http://164.100.24.220/loksabhaquestions/annex/1710/AU610.pdf
601,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Dharmapuri,Shri Arvind",Utilisation of Funds under POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/1710/AU601.pdf
597,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Sridhar,Shri Kotagiri",Victim Compensation Scheme for Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU597.pdf
595,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Chidambaram,Shri Karti P.",India`s Ranking in GHI,http://164.100.24.220/loksabhaquestions/annex/1710/AU595.pdf
593,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Meena,Smt. Jaskaur",Mission Shakti,http://164.100.24.220/loksabhaquestions/annex/1710/AU593.pdf
582,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Sahoo,Shri Mahesh",Children affected by COVID-19,http://164.100.24.220/loksabhaquestions/annex/1710/AU582.pdf
580,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Rathva,Smt. Gitaben Vajesingbhai",Take Home Ration Scheme,http://164.100.24.220/loksabhaquestions/annex/1710/AU580.pdf
572,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kateel,Shri Nalin Kumar",Anganwadi Centres in Karnataka,http://164.100.24.220/loksabhaquestions/annex/1710/AU572.pdf
569,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Murmu,Ms. Chandrani",Shelter Homes under Ujjawala Scheme,http://164.100.24.220/loksabhaquestions/annex/1710/AU569.pdf
568,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Prasad,Shri Chandeshwar",Funds for National Nutrition Mission,http://164.100.24.220/loksabhaquestions/annex/1710/AU568.pdf
564,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Choudhary,Shri Chandra Prakash",Anganwadi Centres in Jharkhand,http://164.100.24.220/loksabhaquestions/annex/1710/AU564.pdf
561,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Bohra,Shri Ramcharan",Scheme for Single Working Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU561.pdf
558,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Haridas,Ms. Ramya",Conviction Rate in POCSO Act,http://164.100.24.220/loksabhaquestions/annex/1710/AU558.pdf
553,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Adhikari, Shri Sisir Kumar",Functioning of NCPCR,http://164.100.24.220/loksabhaquestions/annex/1710/AU553.pdf
548,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Sharma,Dr. Arvind Kumar,Shyal,Dr. Bharatiben Dhirubhai,Lalwani,Shri Shankar",Scheme for Digital Empowerment of Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU548.pdf
545,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Devarayalu,Shri Lavu Sri Krishna",Basic Infrastructure in Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/1710/AU545.pdf
533,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Kotha Prabhakar",Funds Allocation under Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/1710/AU533.pdf
529,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Pala,Shri Vincent H",Anganwadi Centres in Meghalaya,http://164.100.24.220/loksabhaquestions/annex/1710/AU529.pdf
525,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kotak,Shri Manoj Kishorbhai,Khadse,Smt. Raksha Nikhil",Foster Care Centres,http://164.100.24.220/loksabhaquestions/annex/1710/AU525.pdf
524,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Oram,Shri Jual",Missing Children,http://164.100.24.220/loksabhaquestions/annex/1710/AU524.pdf
523,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Tripathi,Shri Ramapati Ram,Majhi,Shri Ramesh Chandra,Singh,Shri Brijbhushan Sharan,Sarangi,Shri Pratap Chandra",Pradhan Mantri Matru Vandana Yojana,http://164.100.24.220/loksabhaquestions/annex/1710/AU523.pdf
522,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Adala Prabhakara",Saksham Anganwadi Scheme,http://164.100.24.220/loksabhaquestions/annex/1710/AU522.pdf
512,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Ruhi,Ms. Nusrat Jahan",Allocation of Funds to Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/1710/AU512.pdf
506,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Sigriwal,Shri Janardan Singh",Supplementary Nutrition Manufacturing Units,http://164.100.24.220/loksabhaquestions/annex/1710/AU506.pdf
504,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Kundariya,Shri Mohanbhai Kalyanji,Firojiya,Shri Anil",Ghar-Go Home and Re-Unite,http://164.100.24.220/loksabhaquestions/annex/1710/AU504.pdf
485,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Sharma,Shri Anurag",Beneficiaries under various schemes,http://164.100.24.220/loksabhaquestions/annex/1710/AU485.pdf
480,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Chudasama,Shri Rajeshbhai Naranbhai",Nutrition to Children under POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/1710/AU480.pdf
477,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Prathapan,Shri T.N.",Disruptions in Services of Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/1710/AU477.pdf
476,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Bisen,Dr. Dhal Singh",Safety of Women and Children,http://164.100.24.220/loksabhaquestions/annex/1710/AU476.pdf
473,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Adhikari,Shri Dibyendu",Women Hostels in West Bengal,http://164.100.24.220/loksabhaquestions/annex/1710/AU473.pdf
470,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Bhatia,Shri Sanjay",Setting up of One Stop Centre,http://164.100.24.220/loksabhaquestions/annex/1710/AU470.pdf
469,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Shah,Smt. Mala Rajya Laxmi,Chandel,Kunwar Pushpendra Singh",Sexual Assaults against Women,http://164.100.24.220/loksabhaquestions/annex/1710/AU469.pdf
465,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Unmesh Bhaiyyasaheb,Vikhepatil,Dr. Sujay Radhakrishna,Joshi,Prof. Rita Bahuguna,Gavit,Dr. Heena Vijaykumar,Yadav,Shri Krishna Pal Singh,Shinde,Dr. Shrikant Eknath",Female Mortality,http://164.100.24.220/loksabhaquestions/annex/1710/AU465.pdf
461,UNSTARRED ,09.12.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Manne Srinivas,Kanumuru,Shri Raghu Ramakrishna Raju,Raja,Shri Andimuthu,Thirunavukkarasar,Shri Su,Pala,Shri Vincent H,Pal ,Shri Jagdambika,Ajmal, Maulana Badruddin,Singh,Shri Ravneet,Kalanidhi,Dr. V.,Pon,Shri Gautham Sigamani",Global Hunger Index,http://164.100.24.220/loksabhaquestions/annex/1710/AU461.pdf
298,STARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Natarajan,Shri P.R.",Indecent Representation of Women,http://164.100.24.220/loksabhaquestions/annex/179/AS298.pdf
295,STARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Chandra,Shri Girish",Malnutrition among Women and Children,http://164.100.24.220/loksabhaquestions/annex/179/AS295.pdf
294,STARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ruhi,Ms. Nusrat Jahan",Cases of Child Abuse,http://164.100.24.220/loksabhaquestions/annex/179/AS294.pdf
3448,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Unmesh Bhaiyyasaheb,Vikhepatil,Dr. Sujay Radhakrishna,Joshi,Prof. Rita Bahuguna,Bind,Shri Ramesh Chand ,Gavit,Dr. Heena Vijaykumar,Poddar,Smt. Aparupa ,Gavit,Shri Rajendra Dhedya ,Yadav,Shri Krishna Pal Singh,Shinde,Dr. Shrikant Eknath",Corpus under Rashtriya Mahila Kosh,http://164.100.24.220/loksabhaquestions/annex/179/AU3448.pdf
3438,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Ashok Kumar",Allocation of Funds under Various Schemes,http://164.100.24.220/loksabhaquestions/annex/179/AU3438.pdf
3434,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Dubey,Shri Vijay Kumar",Special Provisions under Mission Vatsalya,http://164.100.24.220/loksabhaquestions/annex/179/AU3434.pdf
3432,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Uikey,Shri Durga Das",Implementation of PMMVY,http://164.100.24.220/loksabhaquestions/annex/179/AU3432.pdf
3427,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Chauhan,Shri Nihal Chand",Self-employment of Women,http://164.100.24.220/loksabhaquestions/annex/179/AU3427.pdf
3407,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"B.N. ,Shri Bache Gowda",Study on Impact of Poshan Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/179/AU3407.pdf
3397,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Joshi,Shri Chandra Prakash",Child Abuse,http://164.100.24.220/loksabhaquestions/annex/179/AU3397.pdf
3396,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ambareesh,Smt. Sumalatha",Payment of Honorarium to Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU3396.pdf
3394,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,Dr. T. Sumathy (a) Thamizhachi Thangapandian,Global Gender Gap Index,http://164.100.24.220/loksabhaquestions/annex/179/AU3394.pdf
3378,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Vanga,Smt. Geetha Viswanath,Murmu,Ms. Chandrani",Crime against Children in Orphanages,http://164.100.24.220/loksabhaquestions/annex/179/AU3378.pdf
3377,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Pala,Shri Vincent H",Anti Human Trafficking Units,http://164.100.24.220/loksabhaquestions/annex/179/AU3377.pdf
3376,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ramalingam,Shri S.",Nutrition Policy,http://164.100.24.220/loksabhaquestions/annex/179/AU3376.pdf
3374,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Mendhe,Shri Sunil Baburao",Beneficiaries under POSHAN Abhiyan and PMMVY,http://164.100.24.220/loksabhaquestions/annex/179/AU3374.pdf
3373,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Duggal,Smt. Sunita",Complaints through Women Helpline,http://164.100.24.220/loksabhaquestions/annex/179/AU3373.pdf
3372,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ghosh,Shri Dilip",Operational AWCs in West Bengal,http://164.100.24.220/loksabhaquestions/annex/179/AU3372.pdf
3361,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Godse,Shri Hemant Tukaram",BBBP Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU3361.pdf
3353,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Sagar,Shri Arun Kumar",Scheme for Widow,http://164.100.24.220/loksabhaquestions/annex/179/AU3353.pdf
3350,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Pfoze,Dr. Lorho S.",Preference to Local NGOs in Projects,http://164.100.24.220/loksabhaquestions/annex/179/AU3350.pdf
3345,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Sinha,Shri Jayant",ICDS under Anganwadi Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU3345.pdf
3342,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Rangaiah,Shri Talari",Implementation of POCSO Act,http://164.100.24.220/loksabhaquestions/annex/179/AU3342.pdf
3329,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Koli,Smt. Ranjeeta,Rajoria,Dr. Manoj,Saraswati,Shri Sumedhanand,Singh,Shri Sunil Kumar","Beti Bachao, Beti Padhao Scheme",http://164.100.24.220/loksabhaquestions/annex/179/AU3329.pdf
3323,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Parthiban,Shri S.R.",Implementation of NCPCR Manual in Schools,http://164.100.24.220/loksabhaquestions/annex/179/AU3323.pdf
3321,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Madhavi,Ms. Goddeti",Scheme for Enrolment of Children,http://164.100.24.220/loksabhaquestions/annex/179/AU3321.pdf
3306,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Kolhe,Dr. Amol Ramsing,Tatkare,Shri Sunil Dattatray,Sharma,Shri Kuldeep Rai,Sule,Smt. Supriya Sadanand",National Children Fund,http://164.100.24.220/loksabhaquestions/annex/179/AU3306.pdf
3303,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Gandhi,Shri Rahul",Requirement of Aadhaar for SNP,http://164.100.24.220/loksabhaquestions/annex/179/AU3303.pdf
3287,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Pashupati Nath,Sigriwal,Shri Janardan Singh,Ravindhranath, Shri P.",Digitalization of Anganwadi Services,http://164.100.24.220/loksabhaquestions/annex/179/AU3287.pdf
3286,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ganeshamurthi,Shri A.",Mission Vatsalya Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU3286.pdf
3276,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Jawed,Dr. Mohammad,Benny,Shri Behanan,Sudhakaran,Shri Kumbakudi",Distribution of Fortified Rice,http://164.100.24.220/loksabhaquestions/annex/179/AU3276.pdf
3275,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Vajendla Rao,Smt. Poonam (Mahajan)",Malnutrition among Women,http://164.100.24.220/loksabhaquestions/annex/179/AU3275.pdf
3273,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Revanna,Shri Prajwal",Minimum Wage to Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU3273.pdf
3264,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Jadhav,Dr. Umesh G.,Surya,Shri L.S. Tejasvi,Mahaswamiji,Dr. Jaisiddeshwar Shivacharya,Raghavendra,Shri B. Y.,Simha,Shri Prathap,Karadi,Shri Sanganna Amarappa",Rashtriya Mahila Kosh,http://164.100.24.220/loksabhaquestions/annex/179/AU3264.pdf
3257,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Chakraborty,Ms. Mimi",Budget to Tackle Malnutrition,http://164.100.24.220/loksabhaquestions/annex/179/AU3257.pdf
3256,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Gupta,Shri Sangamlal Kadedin,Chaudhary,Shri P.P.,Tripathi,Shri Ramapati Ram,Solanky,Shri Mahendra Singh,Singh,Shri Rajbahadur,Tiwari,Shri Manoj Kumar,Singh,Shri Brijbhushan Sharan,Patil,Shri C. R.,Sarangi,Shri Pratap Chandra",Budgetary Allocation under PMMVY,http://164.100.24.220/loksabhaquestions/annex/179/AU3256.pdf
3252,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Gupta,Shri Sangamlal Kadedin,Chaudhary,Shri P.P.,Tripathi,Shri Ramapati Ram,Solanky,Shri Mahendra Singh,Singh,Shri Rajbahadur,Singh,Shri Brijbhushan Sharan,Patil,Shri C. R.,Sarangi,Shri Pratap Chandra",New Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/179/AU3252.pdf
3246,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Malothu,Smt. Kavitha,Borlakunta,Shri Venkatesh Netha,Pasunoori,Shri Dayakar,Reddy,Dr. Gaddam Ranjith",Anganwadi Centres in Telangana,http://164.100.24.220/loksabhaquestions/annex/179/AU3246.pdf
3243,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ram,Shri Shiromani,Patil,Shri Bheemrao Baswanthrao,Saumitra,Shri Khan",Crime against Women,http://164.100.24.220/loksabhaquestions/annex/179/AU3243.pdf
3233,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Seth,Shri Sanjay",Assistance under Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/179/AU3233.pdf
3231,UNSTARRED ,05.08.2022,WOMEN AND CHILD DEVELOPMENT,"Ambareesh,Smt. Sumalatha,Kateel,Shri Nalin Kumar,Chidambaram,Shri Karti P.",Global Gender Gap,http://164.100.24.220/loksabhaquestions/annex/179/AU3231.pdf
2293,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Gupta,Shri Sangamlal Kadedin,Chaudhary,Shri P.P.,Tripathi,Shri Ramapati Ram,Solanky,Shri Mahendra Singh,Singh,Shri Brijbhushan Sharan,Sarangi,Shri Pratap Chandra",Mother and Child Care Services,http://164.100.24.220/loksabhaquestions/annex/179/AU2293.pdf
2284,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mandal,Shri Ajay Kumar,Singh,Shri Chandan,Kamait,Shri Dileshwar,Chatterjee,Smt. Locket,Mahato,Shri Jyotirmay Singh,Suresh,Shri Doddaalahalli Kempegowda,Yadav,Shri Ram Kripal,Devi,Smt. Rama,Yadav,Shri Dinesh Chandra,Singh,Shri Rajiv Ranjan (Lalan),Kora,Smt. Geeta,Vichare,Shri Rajan Baburao ,Kaushik,Shri Ramesh Chander,Sharma,Shri Jugal Kishore,Pathak,Smt. Riti,Maadam,Smt. Poonamben Hematbhai,Kumar,Shri Kaushalendra",Construction of Anganwadi Buildings,http://164.100.24.220/loksabhaquestions/annex/179/AU2284.pdf
2260,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Dr. Amar",Increase in Honorarium of Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU2260.pdf
2256,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Ravikumar,Shri D.",Provisions for Menstrual Leave,http://164.100.24.220/loksabhaquestions/annex/179/AU2256.pdf
2243,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Sarania,Shri Naba (Hira) Kumar",Priority States under Mission Vatsalya Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU2243.pdf
2241,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Chazhikadan,Shri Thomas",SHe-Box,http://164.100.24.220/loksabhaquestions/annex/179/AU2241.pdf
2238,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mahtab,Shri Bhartruhari",Poshan Abhiyan,http://164.100.24.220/loksabhaquestions/annex/179/AU2238.pdf
2231,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Choudhary,Shri Chandra Prakash",Facilities at Anganwadi Centres in Jharkhand,http://164.100.24.220/loksabhaquestions/annex/179/AU2231.pdf
2229,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Syed,Shri Imtiaz Jaleel",Courses for Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU2229.pdf
2223,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Naik,Shri Raja Amareshwara,Roy,Dr. Jayanta Kumar,Singh Deo,Smt. Sangeeta Kumari,Singh,Shri Bhola,Sonkar,Shri Vinod Kumar,Singh,Shri Rajveer (Raju Bhaiya)",National Girl Child Day,http://164.100.24.220/loksabhaquestions/annex/179/AU2223.pdf
2218,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Venkatesan,Shri S.",Cases under POCSO Act,http://164.100.24.220/loksabhaquestions/annex/179/AU2218.pdf
2211,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Seth,Shri Sanjay",OSCs in Jharkhand,http://164.100.24.220/loksabhaquestions/annex/179/AU2211.pdf
2207,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Ravindhranath, Shri P.",Study on Malnutrition,http://164.100.24.220/loksabhaquestions/annex/179/AU2207.pdf
2205,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Beniwal,Shri Hanuman",Study on Malnutrition,http://164.100.24.220/loksabhaquestions/annex/179/AU2205.pdf
2203,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Y. S. Avinash",Legal Age of Marriage,http://164.100.24.220/loksabhaquestions/annex/179/AU2203.pdf
2196,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Thirunavukkarasar,Shri Su,Singh,Shri Ravneet",New Norms for Mission Vatsalya,http://164.100.24.220/loksabhaquestions/annex/179/AU2196.pdf
2180,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Prasad,Shri Chandeshwar",Funds under National Nutrition Mission,http://164.100.24.220/loksabhaquestions/annex/179/AU2180.pdf
2163,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Bheemrao Baswanthrao",Working Women Hostels in Telangana,http://164.100.24.220/loksabhaquestions/annex/179/AU2163.pdf
2161,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri Gajendra Singh",WCD Schemes in Aspirational Districts of MP,http://164.100.24.220/loksabhaquestions/annex/179/AU2161.pdf
2160,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Ajmal, Maulana Badruddin",Sexual Exploitation in Shelter Homes,http://164.100.24.220/loksabhaquestions/annex/179/AU2160.pdf
2153,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Eden,Shri Hibi",Allocation under Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/179/AU2153.pdf
2148,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Pashupati Nath,Sigriwal,Shri Janardan Singh",Kishori Health Card Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU2148.pdf
2146,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Dhanorkar,Shri Balubhau (Alias Suresh Narayan)",Disruption in Nutritional Services by Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/179/AU2146.pdf
2145,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mallah,Shri Kripanath,Meena,Smt. Jaskaur",PM Cares for Children,http://164.100.24.220/loksabhaquestions/annex/179/AU2145.pdf
2137,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Adhikari,Shri Dibyendu",Beti Bachao and Beti Padhao,http://164.100.24.220/loksabhaquestions/annex/179/AU2137.pdf
2133,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Suman,Dr. Alok Kumar",Child Beggars,http://164.100.24.220/loksabhaquestions/annex/179/AU2133.pdf
2121,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Unmesh Bhaiyyasaheb,Bind,Shri Ramesh Chand ,Poddar,Smt. Aparupa ,Gavit,Shri Rajendra Dhedya ,Chudasama,Shri Rajeshbhai Naranbhai,Shetty,Shri Gopal Chinayya",Enrolments under PMMVY,http://164.100.24.220/loksabhaquestions/annex/179/AU2121.pdf
2119,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Ray,Prof. Sougata",Fatalities of Children in Adoption Centres,http://164.100.24.220/loksabhaquestions/annex/179/AU2119.pdf
